games, numTurns, whoWon, yourStrat, CardsInDeck
526,8,player 2,opp Guess,22
527,15,player 2,opp Guess,8
528,19,player 1,opp Guess,0
529,11,player 2,opp Guess,16
530,4,player 1,opp Guess,30
531,7,player 2,opp Guess,24
532,15,player 2,opp Guess,8
533,16,player 2,opp Guess,6
534,12,player 2,opp Guess,14
535,19,player 2,opp Guess,0
536,15,player 1,opp Guess,8
537,17,player 2,opp Guess,4
538,8,player 2,opp Guess,22
539,19,player 2,opp Guess,0
540,9,player 2,opp Guess,20
541,19,player 2,opp Guess,0
542,19,player 2,opp Guess,0
543,6,player 1,opp Guess,26
544,6,player 1,opp Guess,26
545,16,player 1,opp Guess,6
546,8,player 1,opp Guess,22
547,10,player 1,opp Guess,18
548,10,player 1,opp Guess,18
549,5,player 2,opp Guess,28
550,13,player 2,opp Guess,12
551,19,player 2,opp Guess,0
552,19,player 1,opp Guess,0
553,6,player 2,opp Guess,26
554,7,player 2,opp Guess,24
555,16,player 2,opp Guess,6
556,13,player 2,opp Guess,12
557,6,player 2,opp Guess,26
558,9,player 2,opp Guess,20
559,4,player 2,opp Guess,30
560,14,player 2,opp Guess,10
561,19,player 1,opp Guess,0
562,19,player 2,opp Guess,0
563,6,player 2,opp Guess,26
564,5,player 2,opp Guess,28
565,10,player 2,opp Guess,18
566,4,player 2,opp Guess,30
567,7,player 2,opp Guess,24
568,19,player 2,opp Guess,0
569,19,player 2,opp Guess,0
570,19,player 2,opp Guess,0
571,10,player 2,opp Guess,18
572,19,player 2,opp Guess,0
573,19,player 2,opp Guess,0
574,17,player 2,opp Guess,4
575,9,player 2,opp Guess,20
576,19,player 2,opp Guess,0
577,19,player 2,opp Guess,0
578,15,player 1,opp Guess,8
579,13,player 1,opp Guess,12
580,6,player 1,opp Guess,26
581,14,player 2,opp Guess,10
582,9,player 2,opp Guess,20
583,19,player 2,opp Guess,0
584,19,player 2,opp Guess,0
585,19,player 2,opp Guess,0
586,3,player 2,opp Guess,32
587,16,player 2,opp Guess,6
588,12,player 2,opp Guess,14
589,6,player 2,opp Guess,26
590,6,player 2,opp Guess,26
591,5,player 2,opp Guess,28
592,19,player 2,opp Guess,0
593,7,player 2,opp Guess,24
594,6,player 1,opp Guess,26
595,9,player 1,opp Guess,20
596,10,player 2,opp Guess,18
597,8,player 2,opp Guess,22
598,14,player 2,opp Guess,10
599,6,player 2,opp Guess,26
600,19,player 2,opp Guess,0
601,18,player 2,opp Guess,2
602,14,player 2,opp Guess,10
603,17,player 2,opp Guess,4
604,14,player 2,opp Guess,10
605,13,player 2,opp Guess,12
606,4,player 1,opp Guess,30
607,5,player 1,opp Guess,28
608,6,player 2,opp Guess,26
609,9,player 1,opp Guess,20
610,4,player 1,opp Guess,30
611,11,player 1,opp Guess,16
612,19,player 2,opp Guess,0
613,4,player 1,opp Guess,30
614,15,player 1,opp Guess,8
615,19,player 1,opp Guess,0
616,8,player 2,opp Guess,22
617,19,player 2,opp Guess,0
618,18,player 2,opp Guess,2
619,19,player 2,opp Guess,0
620,19,player 2,opp Guess,0
621,19,player 2,opp Guess,0
622,7,player 2,opp Guess,24
623,15,player 2,opp Guess,8
624,19,player 1,opp Guess,0
625,12,player 2,opp Guess,14
626,6,player 1,opp Guess,26
627,19,player 1,opp Guess,0
628,19,player 2,opp Guess,0
629,11,player 2,opp Guess,16
630,10,player 2,opp Guess,18
631,5,player 2,opp Guess,28
632,7,player 2,opp Guess,24
633,6,player 1,opp Guess,26
634,4,player 1,opp Guess,30
635,5,player 1,opp Guess,28
636,12,player 2,opp Guess,14
637,11,player 2,opp Guess,16
638,19,player 2,opp Guess,0
639,13,player 2,opp Guess,12
640,19,player 2,opp Guess,0
641,19,player 2,opp Guess,0
642,19,player 2,opp Guess,0
643,5,player 2,opp Guess,28
644,9,player 2,opp Guess,20
645,13,player 1,opp Guess,12
646,9,player 2,opp Guess,20
647,8,player 2,opp Guess,22
648,6,player 2,opp Guess,26
649,10,player 1,opp Guess,18
650,3,player 1,opp Guess,32
651,8,player 2,opp Guess,22
652,7,player 2,opp Guess,24
653,19,player 2,opp Guess,0
654,4,player 2,opp Guess,30
655,4,player 2,opp Guess,30
656,19,player 2,opp Guess,0
657,19,player 1,opp Guess,0
658,10,player 2,opp Guess,18
659,19,player 2,opp Guess,0
660,12,player 2,opp Guess,14
661,19,player 1,opp Guess,0
662,10,player 2,opp Guess,18
663,19,player 2,opp Guess,0
664,19,player 2,opp Guess,0
665,9,player 2,opp Guess,20
666,6,player 2,opp Guess,26
667,19,player 2,opp Guess,0
668,19,player 2,opp Guess,0
669,19,player 1,opp Guess,0
670,19,player 1,opp Guess,0
671,16,player 2,opp Guess,6
672,17,player 2,opp Guess,4
673,9,player 2,opp Guess,20
674,19,player 2,opp Guess,0
675,7,player 2,opp Guess,24
676,19,player 1,opp Guess,0
677,19,player 2,opp Guess,0
678,9,player 1,opp Guess,20
679,13,player 2,opp Guess,12
680,19,player 2,opp Guess,0
681,19,player 2,opp Guess,0
682,6,player 2,opp Guess,26
683,19,player 2,opp Guess,0
684,19,player 2,opp Guess,0
685,11,player 2,opp Guess,16
686,6,player 1,opp Guess,26
687,15,player 1,opp Guess,8
688,17,player 2,opp Guess,4
689,6,player 2,opp Guess,26
690,10,player 1,opp Guess,18
691,12,player 1,opp Guess,14
692,19,player 2,opp Guess,0
693,9,player 2,opp Guess,20
694,5,player 2,opp Guess,28
695,8,player 2,opp Guess,22
696,7,player 1,opp Guess,24
697,15,player 2,opp Guess,8
698,16,player 2,opp Guess,6
699,6,player 1,opp Guess,26
700,15,player 2,opp Guess,8
701,8,player 2,opp Guess,22
702,11,player 2,opp Guess,16
703,2,player 2,opp Guess,34
704,6,player 2,opp Guess,26
705,11,player 2,opp Guess,16
706,12,player 2,opp Guess,14
707,10,player 2,opp Guess,18
708,6,player 2,opp Guess,26
709,19,player 1,opp Guess,0
710,19,player 1,opp Guess,0
711,19,player 2,opp Guess,0
712,7,player 2,opp Guess,24
713,19,player 2,opp Guess,0
714,17,player 2,opp Guess,4
715,15,player 2,opp Guess,8
716,13,player 2,opp Guess,12
717,14,player 2,opp Guess,10
718,12,player 2,opp Guess,14
719,17,player 2,opp Guess,4
720,11,player 1,opp Guess,16
721,15,player 1,opp Guess,8
722,8,player 1,opp Guess,22
723,19,player 2,opp Guess,0
724,7,player 2,opp Guess,24
725,8,player 2,opp Guess,22
726,14,player 1,opp Guess,10
727,6,player 1,opp Guess,26
728,8,player 2,opp Guess,22
729,8,player 2,opp Guess,22
730,13,player 1,opp Guess,12
731,6,player 2,opp Guess,26
732,19,player 1,opp Guess,0
733,8,player 2,opp Guess,22
734,19,player 1,opp Guess,0
